"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"124961","1221.042202","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.806014000"
"124962","1221.093979","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=7929 Win=253 Len=0","0.051777000"
"124994","1225.657755","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.563776000"
"124995","1225.698300","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=7963 Win=253 Len=0","0.040545000"
"125022","1230.748146","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.049846000"
"125023","1230.788501","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=7997 Win=253 Len=0","0.040355000"
"125078","1235.984983","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.196482000"
"125079","1236.033107","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=8031 Win=253 Len=0","0.048124000"
"125119","1241.235990","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.202883000"
"125120","1241.290837","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=8065 Win=253 Len=0","0.054847000"
"125147","1246.584867","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.294030000"
"125148","1246.632184","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=8099 Win=253 Len=0","0.047317000"
"125182","1251.834063","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.201879000"
"125183","1251.873603","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=8133 Win=253 Len=0","0.039540000"
"125204","1256.315998","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.442395000"
"125205","1256.365168","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=8167 Win=253 Len=0","0.049170000"
"125226","1260.361339","192.168.3.103","5.196.78.28","MQTT","56","Ping Request","3.996171000"
"125227","1260.577456","5.196.78.28","192.168.3.103","TCP","60","1883  >  51332 [ACK] Seq=8167 Ack=43 Win=502 Len=0","0.216117000"
"125232","1261.581031","5.196.78.28","192.168.3.103","MQTT","60","Ping Response","1.003575000"
"125233","1261.623763","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=43 Ack=8169 Win=253 Len=0","0.042732000"
"125237","1262.315354","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","0.691591000"
"125239","1262.368119","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=43 Ack=8203 Win=252 Len=0","0.052765000"
"125270","1267.380558","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.012439000"
"125271","1267.427915","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=43 Ack=8237 Win=252 Len=0","0.047357000"
"125303","1272.569499","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.141584000"
"125305","1272.617315","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=43 Ack=8271 Win=252 Len=0","0.047816000"
"125348","1277.732076","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.114761000"
"125349","1277.777359","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=43 Ack=8305 Win=252 Len=0","0.045283000"
"125463","1283.436137","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.658778000"
"125464","1283.488666","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=43 Ack=8339 Win=252 Len=0","0.052529000"
"125501","1288.728782","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.240116000"
"125502","1288.771909","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=43 Ack=8373 Win=252 Len=0","0.043127000"
"125543","1293.742064","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.970155000"
"125544","1293.793926","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=43 Ack=8407 Win=252 Len=0","0.051862000"
